Region,Country,Subnational Region,Name of the initiative,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
East Asia & Pacific,China,Fujian,Fujian pilot ETS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,0.003320606,0.002388037,0.002377404,0.002467792,0.002881886,0.002842803,0.002842803,0.002842803
North America,Canada,Ontario,Ontario CaT,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,0.002498661,0.002388037,0.002377404,0.002467792,0.002881886,0.002842803,0.002842803,0.002842803
North America,Canada,Alberta,Alberta carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,0.002239654,0.002196261,0.0021976,0.002467792,0.002881886,0.002842803,0.002842803,0.002842803
Latin America & Caribbean,Chile,National,Chile carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,0.001379928,0.001369418,0.001428767,0.001400898,0.00145808,0.001401036,0.001401036,0.001401036
North America,Mexico,Zacatecas,Zacatecas carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,8.13E-06,8.11E-06,8.41E-06,5.88E-06,9.76E-05,9.76E-05,9.76E-05
Latin America & Caribbean,Colombia,National,Colombia carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.000770471,0.000783261,0.000814049,0.000791054,0.000801462,0.000801462,0.000801462
North America,USA,Massachusetts,Massachusetts ETS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0,0,0,0,0,0,0
Latin America & Caribbean,Argentina,National,Argentina carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,0.002702267,0.00269452,0.002710308,0.002705854,0.002705854,0.002705854
North America,Canada,National,Canada federal OBPS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,0.00014753,0.000140517,0.00013817,0.000140708,0.000140708,0.000140708
East Asia & Pacific,Singapore,National,Singapore carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,0.001067579,0.001082944,0.00106223,0.001035044,0.001035044,0.001035044
North America,Canada,Nova Scotia,Nova Scotia OBPS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,0.000264854,0.000257741,0.000245964,0.000242628,0.000242628,0.000242628
North America,Canada,Saskatchewan,Saskatchewan OBPS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,0.000613616,0.000552019,0.000543005,0.000535641,0.000535641,0.000535641
North America,Canada,Newfoundland,Newfoundland and Labrador carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,9.84E-05,8.17E-05,7.35E-05,7.25E-05,7.25E-05,7.25E-05
North America,Canada,Newfoundland,Newfoundland and Labrador PSS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,6.60E-05,5.94E-05,5.86E-05,5.86E-05,5.86E-05
North America,Canada,National,Canada federal fuel charge,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,0.004356019,0.004283262,0.004361934,0.004361934,0.004361934
North America,Canada,Prince,Prince Edward Island Carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,1.55E-05,1.48E-05,1.46E-05,1.46E-05,1.46E-05
Sub-Saharan Africa,South Africa,National,South Africa carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,0.008931071,0.0084768,0.008149251,0.008149251,0.008149251
North America,Canada,Northwest,Northwest Territories carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,1.80E-05,1.86E-05,1.84E-05,1.84E-05,1.84E-05
Latin America & Caribbean,Mexico,National,Mexico pilot ETS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,0.002803521,0.002770033,0.0029267,0.0029267,0.0029267
North America,Canada,New,New Brunswick carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,0.002803521,0.000180939,0.000178485,0.000178485,0.000178485
North America,USA,California,Baja California carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,0.002803521,0.000180939,0.000178485,0.000178485,0.000178485
North America,USA,Oregon,Oregon ETS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,0.002803521,0.000180939,0.000178485,0.000178485,0.000178485
Europe & Central Asia,Netherlands,National,Netherlands carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,0.002803521,3.37E-05,3.12E-05,3.12E-05,3.12E-05
North America,Canada,New Brunswick,New Brunswick OBPS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,0.002803521,0.00011761,0.000116015,0.000116015,0.000116015
Europe & Central Asia,Germany,National,Germany ETS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,0.002803521,0.005825039,0.00568478,0.00568478,0.00568478
Europe & Central Asia,Luxembourg,National,Luxembourg carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,0.002803521,0.000129322,0.000113458,0.000113458,0.000113458
East Asia & Pacific,China,National,China national ETS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,0.002803521,0.093928143,0.092960926,0.092960926,0.092960926
Europe & Central Asia,UK,National,UK ETS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,0.002803521,0.00032095,0.000317229,0.000317229,0.000317229
Europe & Central Asia,Montenegro,National,Montenegro ETS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,0.002803521,0.00032095,2.89E-05,2.89E-05,2.89E-05
North America,Canada,Ontario,Ontario EPS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,0.002803521,0.00032095,0.000729929,0.000729929,0.000729929
North America,Mexico,Tamaulipas,Tamaulipas carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,0.002803521,0.00032095,0.000211891,0.000211891,0.000211891
Latin America & Caribbean,Uruguay,National,Uruguay CO2 tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,0.002803521,0.00032095,3.51E-05,3.51E-05,3.51E-05
North America,Mexico,Queretaro,Queretaro carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,0.002803521,0.00032095,5.28E-05,5.28E-05,5.28E-05
North America,Mexico,Yucatan,Yucatan carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,0.002803521,0.00032095,9.13E-05,9.13E-05,9.13E-05
North America,Mexico,National,State of Mexico carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,0.002803521,0.00032095,9.13E-05,0.000965724,0.000965724
Europe & Central Asia,Austria,National,Austria ETS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,0.002803521,0.00032095,9.13E-05,0.000575011,0.000575011
North America,USA,Washington,Washington CCA,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,0.002803521,0.00032095,9.13E-05,0.001120993,0.001120993
East Asia & Pacific,Indonesia,National,Indonesia ETS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,0.002803521,0.00032095,9.13E-05,0.005998145,0.005998145
North America,Mexico,Guanajuato,Guanajuato carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,0.002803521,0.00032095,9.13E-05,0.005998145,0.000318633
East Asia & Pacific,Australia,National,Australia Safeguard Mechanism,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,0.002803521,0.00032095,9.13E-05,0.005998145,0.002762043
Europe & Central Asia,Hungary,National,Hungary Carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,0.002803521,0.00032095,9.13E-05,0.005998145,0.000397595
East Asia & Pacific,Taiwan,National,Taiwan carbon fee,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,0.002803521,0.00032095,9.13E-05,0.005998145,0.00457639
North America,USA,Durango,Durango carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,0.002803521,0.00032095,9.13E-05,0.005998145,0.00457639
,,,Total,0.004869772,0.006906972,0.007884855,0.007956497,0.008075653,0.007784932,0.008084666,0.008094946,0.007714927,0.007556588,0.007133792,0.00717903,0.007067574,0.007104612,0.006754074,0.049979845,0.048908165,0.050428689,0.050516787,0.051233249,0.050238507,0.051117573,0.052958256,0.08105239,0.097506337,0.11247875,0.112066343,0.119990196,0.11531564,0.114918276,0.125729526,0.224698615,0.222962741,0.231601446,0.239656106
